system:index,EVI,GREEN,LST_C,NDBI,NDVI,NDWI,NIR,RED,SWIR,YEAR,latitude,longitude,.geo
0,1.307248467363866,1129.0,27.136692229999994,0.044206608,0.13334559,-0.15414871,1540.5,1178.0,1683.0,2024,60.970050721882316,25.60212034469898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60212034469898,60.970050721882316]}"
1,3.0029154518950434,490.5,24.820983679999983,-0.07949505,0.5578533,-0.52665865,1582.0,449.0,1349.0,2024,60.970050721882316,25.60481529055134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60481529055134,60.970050721882316]}"
2,3.033385093167702,329.5,23.35636211000002,-0.34281695,0.83429426,-0.73395234,2147.5,194.0,1051.0,2024,60.970050721882316,25.60616276347752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60616276347752,60.970050721882316]}"
3,3.8140845070422538,289.5,23.09659259000003,-0.3442117,0.7992916,-0.6807279,1524.0,170.0,743.5,2024,60.970050721882316,25.60697124723323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60697124723323,60.970050721882316]}"
4,2.132803383897316,740.0,22.568508500000007,-0.33637315,0.71164376,-0.6523373,3517.0,592.5,1746.5,2024,60.970050721882316,25.60885770932988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.60885770932988,60.970050721882316]}"
5,2.028850855745721,777.0,22.197653330000037,-0.21815391,0.5958639,-0.5628692,2778.0,703.5,1783.0,2024,60.970050721882316,25.609666193085587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.609666193085587,60.970050721882316]}"
6,3.7146786696674168,846.5,21.238898720000037,-0.13614179,0.50570214,-0.44637018,2211.5,726.0,1681.5,2024,60.970050721882316,25.611822149767473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.611822149767473,60.970050721882316]}"
7,2.3456614509246085,745.0,20.709105620000003,-0.24281247,0.6709616,-0.61045754,3080.0,606.5,1876.5,2024,60.970050721882316,25.61343911727889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.61343911727889,60.970050721882316]}"
8,3.040496710221481,382.5,19.358987720000016,-0.39154762,0.8908498,-0.8020443,3482.0,201.0,1522.5,2024,60.970050721882316,25.616403557716485,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.616403557716485,60.970050721882316]}"
9,0.9753416051515628,1202.5,22.57363553000002,0.05840227,0.19454888,-0.22643937,1906.5,1285.5,2143.0,2024,60.970050721882316,25.619637492739315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.619637492739315,60.970050721882316]}"
10,1.4351935193519352,1017.5,21.80629004000002,-0.057573613,0.43907475,-0.43947116,2613.0,1018.5,2328.5,2024,60.970050721882316,25.620984965665492,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.620984965665492,60.970050721882316]}"
11,1.3630395535860824,1024.0,20.131460240000024,0.012526096,0.2811918,-0.29766804,1892.0,1061.5,1940.0,2024,60.970050721882316,25.622871427762142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.622871427762142,60.970050721882316]}"
12,1.166787702735415,1051.0,20.322869360000027,0.059565727,0.17701066,-0.2078387,1602.5,1120.5,1805.5,2024,60.970050721882316,25.62367991151785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[25.62367991151785,60.970050721882316]}"
